Match_ID,Match_Day,Date,Time,Home_Team,Score_Home,Away_Team,Score_Away
929548,21,Unknown Date,12:00 AM,Crystal Palace,1,Leeds,0
929549,21,Unknown Date,12:00 AM,Nottm Forest,1,Wimbledon FC,1
929550,21,Unknown Date,12:00 AM,Norwich,0,Ipswich,2
929551,22,Unknown Date,12:00 AM,Arsenal,0,Ipswich,0
929552,22,Unknown Date,12:00 AM,Blackburn,3,Leeds,1
929553,22,Unknown Date,12:00 AM,Chelsea,1,Southampton,1
929554,22,Unknown Date,12:00 AM,Coventry,3,Aston Villa,0
929555,22,Unknown Date,12:00 AM,Crystal Palace,2,Wimbledon FC,0
929556,22,Unknown Date,12:00 AM,Everton,2,Middlesbrough,2
929557,22,Unknown Date,12:00 AM,Man City,2,Sheff Utd,0
929558,22,Unknown Date,12:00 AM,Norwich,0,Tottenham,0
929559,22,Unknown Date,12:00 AM,Sheff Wed,3,Man Utd,3
929560,22,Unknown Date,12:00 AM,Nottm Forest,1,QPR,0
929561,22,Unknown Date,12:00 AM,Oldham Athletic,3,Liverpool,2
929562,23,Unknown Date,12:00 AM,Aston Villa,1,Arsenal,0
929563,23,Unknown Date,12:00 AM,Ipswich,2,Blackburn,1
929564,23,Unknown Date,12:00 AM,Leeds,0,Norwich,0
929565,23,Unknown Date,12:00 AM,Liverpool,1,Man City,1
929566,23,Unknown Date,12:00 AM,Man Utd,5,Coventry,0
929567,23,Unknown Date,12:00 AM,Middlesbrough,0,Crystal Palace,1
929568,23,Unknown Date,12:00 AM,QPR,4,Everton,2
929569,23,Unknown Date,12:00 AM,Southampton,1,Sheff Wed,2
929570,23,Unknown Date,12:00 AM,Tottenham,2,Nottm Forest,1
929571,23,Unknown Date,12:00 AM,Wimbledon FC,0,Chelsea,0
929572,23,Unknown Date,12:00 AM,Sheff Utd,2,Oldham Athletic,0
929573,24,Unknown Date,12:00 AM,Arsenal,1,Sheff Utd,1
929574,24,Unknown Date,12:00 AM,Blackburn,0,Wimbledon FC,0
929575,24,Unknown Date,12:00 AM,Chelsea,2,Man City,4
929576,24,Unknown Date,12:00 AM,Coventry,0,Nottm Forest,1
929577,24,Unknown Date,12:00 AM,Crystal Palace,0,Everton,2
929578,24,Unknown Date,12:00 AM,Ipswich,1,Oldham Athletic,2
929579,24,Unknown Date,12:00 AM,Leeds,2,Southampton,1
929580,24,Unknown Date,12:00 AM,Liverpool,1,Aston Villa,2
929581,24,Unknown Date,12:00 AM,Man Utd,4,Tottenham,1
929582,24,Unknown Date,12:00 AM,Middlesbrough,0,QPR,1
929583,24,Unknown Date,12:00 AM,Sheff Wed,1,Norwich,0
929584,25,Unknown Date,12:00 AM,Everton,2,Leeds,0
929585,25,Unknown Date,12:00 AM,Man City,0,Arsenal,1
929586,25,Unknown Date,12:00 AM,Norwich,1,Coventry,1
929587,25,Unknown Date,12:00 AM,Nottm Forest,3,Chelsea,0
929588,25,Unknown Date,12:00 AM,Oldham Athletic,0,Blackburn,1
929589,25,Unknown Date,12:00 AM,Sheff Utd,3,Ipswich,0
929590,25,Unknown Date,12:00 AM,Southampton,1,Crystal Palace,0
929591,25,Unknown Date,12:00 AM,Tottenham,0,Sheff Wed,2
929592,25,Unknown Date,12:00 AM,Wimbledon FC,2,Liverpool,0
929593,25,Unknown Date,12:00 AM,Aston Villa,5,Middlesbrough,1
929594,25,Unknown Date,12:00 AM,QPR,1,Man Utd,3
929595,26,Unknown Date,12:00 AM,Blackburn,2,Coventry,5
929596,26,Unknown Date,12:00 AM,Middlesbrough,2,Southampton,1
929597,26,Unknown Date,12:00 AM,Oldham Athletic,0,Man City,1
929598,26,Unknown Date,12:00 AM,Wimbledon FC,1,Everton,3
929599,26,Unknown Date,12:00 AM,Aston Villa,3,Sheff Utd,1
929600,26,Unknown Date,12:00 AM,Man Utd,2,Nottm Forest,0
929601,26,Unknown Date,12:00 AM,Norwich,4,Crystal Palace,2
929602,26,Unknown Date,12:00 AM,QPR,1,Chelsea,1
929603,26,Unknown Date,12:00 AM,Tottenham,0,Ipswich,2
929604,26,Unknown Date,12:00 AM,Liverpool,2,Leeds,0
929605,26,Unknown Date,12:00 AM,Sheff Wed,1,Arsenal,0
929606,27,Unknown Date,12:00 AM,Chelsea,0,Sheff Wed,2
929607,27,Unknown Date,12:00 AM,Coventry,0,Wimbledon FC,2
929608,27,Unknown Date,12:00 AM,Crystal Palace,1,Tottenham,3
929609,27,Unknown Date,12:00 AM,Everton,0,Norwich,1
929610,27,Unknown Date,12:00 AM,Ipswich,2,Man Utd,1
929611,27,Unknown Date,12:00 AM,Leeds,3,Middlesbrough,0
929612,27,Unknown Date,12:00 AM,Man City,3,Blackburn,2
929613,27,Unknown Date,12:00 AM,Nottm Forest,2,Oldham Athletic,0
929614,27,Unknown Date,12:00 AM,Sheff Utd,1,QPR,2
929615,27,Unknown Date,12:00 AM,Southampton,2,Aston Villa,0
929616,27,Unknown Date,12:00 AM,Arsenal,0,Liverpool,1
929617,28,Unknown Date,12:00 AM,Blackburn,1,Crystal Palace,2
929618,28,Unknown Date,12:00 AM,Wimbledon FC,1,Leeds,0
929619,28,Unknown Date,12:00 AM,Aston Villa,2,Ipswich,0
929620,28,Unknown Date,12:00 AM,Liverpool,0,Nottm Forest,0
929621,28,Unknown Date,12:00 AM,Man Utd,2,Sheff Utd,1
929622,28,Unknown Date,12:00 AM,Middlesbrough,0,Coventry,2
929623,28,Unknown Date,12:00 AM,Oldham Athletic,3,Chelsea,1
929624,28,Unknown Date,12:00 AM,QPR,1,Man City,1
929625,28,Unknown Date,12:00 AM,Sheff Wed,3,Everton,1
929626,28,Unknown Date,12:00 AM,Tottenham,4,Southampton,2
929627,28,Unknown Date,12:00 AM,Norwich,1,Arsenal,1
929628,29,Unknown Date,12:00 AM,Coventry,3,Oldham Athletic,0
929629,29,Unknown Date,12:00 AM,Leeds,0,Man Utd,0
929630,29,Unknown Date,12:00 AM,Ipswich,1,QPR,1
929631,29,Unknown Date,12:00 AM,Sheff Utd,2,Middlesbrough,0
929632,29,Unknown Date,12:00 AM,Arsenal,0,Wimbledon FC,1
